Args:
	algorithm: MCR
	checkpoint_freq: None
	data_dir: data
	dataset: RotatedMNIST
	holdout_fraction: 0.2
	hparams: None
	hparams_seed: 0
	output_dir: output/svdsvm/svd_5
	seed: 0
	steps: None
	test_envs: [5]
	trial_seed: 0
HParams:
	batch_size: 256
	class_balanced: False
	classification: svd
	fd: 60
	groupdro_eta: 0.01
	irm_lambda: 100.0
	irm_penalty_anneal_iters: 500
	lr: 0.001
	mixup_alpha: 0.2
	mldg_beta: 1.0
	mlp_depth: 3
	mlp_dropout: 0.0
	mlp_width: 256
	mmd_gamma: 1.0
	n_comp: 6
	resnet_dropout: 0.0
	weight_decay: 0.0
saved at step 0
env0_in_acc   env0_out_acc  env1_in_acc   env1_out_acc  env2_in_acc   env2_out_acc  env3_in_acc   env3_out_acc  env4_in_acc   env4_out_acc  env5_in_acc   env5_out_acc  epoch         loss          step          step_time    
0.9995714592  0.9819974282  1.0000000000  0.9892841835  0.9998928648  0.9927132447  0.9996785944  0.9931418774  0.9991428265  0.9815687955  0.9529626058  0.9537076725  8100.0000000  -23.18513029  8100          0.2729601526 
0.9995714592  0.9871410201  1.0000000000  0.9918559794  0.9998928648  0.9905700814  0.9996785944  0.9939991427  0.9991428265  0.9824260609  0.9501767920  0.9588512645  8200.0000000  -23.15591529  8200          0.2753788447 
0.9995714592  0.9807115302  0.9998928648  0.9892841835  0.9995714592  0.9892841835  0.9986072423  0.9918559794  0.9982856531  0.9824260609  0.9560698596  0.9592798971  8300.0000000  -23.14019199  8300          0.2814220452 
0.9995714592  0.9824260609  1.0000000000  0.9884269181  0.9998928648  0.9914273468  0.9995714592  0.9935705101  0.9990356798  0.9824260609  0.9527483124  0.9575653665  8400.0000000  -23.14901630  8400          0.2796777225 
0.9994643240  0.9832833262  0.9997857296  0.9871410201  0.9998928648  0.9901414488  0.9996785944  0.9927132447  0.9984999464  0.9815687955  0.9439622844  0.9494213459  8500.0000000  -23.08352958  8500          0.2807903385 
0.9995714592  0.9837119589  1.0000000000  0.9901414488  0.9998928648  0.9901414488  0.9994643240  0.9922846121  0.9991428265  0.9854264895  0.9519982857  0.9584226318  8600.0000000  -23.14881624  8600          0.2824958587 
0.9995714592  0.9832833262  1.0000000000  0.9892841835  0.9998928648  0.9918559794  0.9996785944  0.9935705101  0.9992499732  0.9824260609  0.9516768456  0.9575653665  8700.0000000  -23.17550119  8700          0.2867942381 
0.9995714592  0.9819974282  1.0000000000  0.9888555508  0.9997857296  0.9905700814  0.9996785944  0.9918559794  0.9991428265  0.9811401629  0.9458909247  0.9541363052  8800.0000000  -23.19386917  8800          0.2822007275 
0.9995714592  0.9832833262  1.0000000000  0.9888555508  0.9998928648  0.9914273468  0.9996785944  0.9931418774  0.9992499732  0.9837119589  0.9503910854  0.9545649378  8900.0000000  -23.20856967  8900          0.2844307613 
0.9995714592  0.9824260609  1.0000000000  0.9892841835  0.9998928648  0.9918559794  0.9996785944  0.9944277754  0.9992499732  0.9837119589  0.9511411122  0.9562794685  9000.0000000  -23.19812887  9000          0.2901044273 
0.9995714592  0.9815687955  0.9998928648  0.9875696528  0.9998928648  0.9905700814  0.9996785944  0.9939991427  0.9992499732  0.9849978568  0.9510339655  0.9562794685  9100.0000000  -23.21195632  9100          0.2865775156 
0.9995714592  0.9807115302  1.0000000000  0.9888555508  0.9998928648  0.9897128161  0.9996785944  0.9931418774  0.9992499732  0.9828546935  0.9486767385  0.9511358766  9200.0000000  -23.21454627  9200          0.2897107053 
0.9995714592  0.9832833262  1.0000000000  0.9892841835  0.9998928648  0.9892841835  0.9996785944  0.9922846121  0.9992499732  0.9824260609  0.9497482053  0.9532790399  9300.0000000  -23.22348407  9300          0.2918859529 
0.9995714592  0.9832833262  1.0000000000  0.9892841835  0.9998928648  0.9914273468  0.9996785944  0.9935705101  0.9992499732  0.9802828976  0.9456766313  0.9511358766  9400.0000000  -23.22832359  9400          0.2992047143 
0.9995714592  0.9841405915  1.0000000000  0.9884269181  0.9998928648  0.9888555508  0.9996785944  0.9918559794  0.9992499732  0.9832833262  0.9488910318  0.9558508358  9500.0000000  -23.21702863  9500          0.2928480983 
0.9995714592  0.9828546935  1.0000000000  0.9892841835  0.9998928648  0.9897128161  0.9992500536  0.9931418774  0.9944283724  0.9781397342  0.9440694311  0.9481354479  9600.0000000  -23.22361310  9600          0.2923279786 
0.9995714592  0.9849978568  1.0000000000  0.9884269181  0.9998928648  0.9897128161  0.9996785944  0.9927132447  0.9992499732  0.9807115302  0.9486767385  0.9549935705  9700.0000000  -23.21323919  9700          0.2944166660 
0.9994643240  0.9837119589  1.0000000000  0.9879982855  0.9998928648  0.9922846121  0.9996785944  0.9922846121  0.9992499732  0.9832833262  0.9503910854  0.9597085298  9800.0000000  -23.22574600  9800          0.2998298454 
0.9995714592  0.9837119589  1.0000000000  0.9892841835  0.9998928648  0.9905700814  0.9996785944  0.9927132447  0.9992499732  0.9824260609  0.9491053252  0.9519931419  9900.0000000  -23.21899471  9900          0.2970126653 
